<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
10/09/2018,103340,103340,103340,103340
10/09/2018,103330,103330,103330,103330
10/09/2018,103280,103280,103220,103220
10/09/2018,103190,103190,103170,103190
10/09/2018,103190,103210,103190,103210
10/09/2018,103270,103280,103220,103220
10/09/2018,103190,103190,103150,103150
10/09/2018,103130,103140,103130,103130
10/09/2018,103130,103160,103120,103160
10/09/2018,103080,103080,103080,103080
10/09/2018,103060,103070,103050,103060
10/09/2018,103100,103110,103060,103060
10/09/2018,103030,103060,102910,103060
10/09/2018,103110,103180,103110,103180
10/09/2018,103110,103130,103090,103130
10/09/2018,103150,103160,103150,103160
10/09/2018,103180,103190,103180,103190
10/09/2018,103190,103210,103170,103170
10/09/2018,103190,103200,103190,103200
10/09/2018,103210,103210,103170,103170
10/09/2018,103200,103250,103200,103250
10/09/2018,103220,103230,103210,103230
10/09/2018,103300,103320,103300,103320
10/09/2018,103310,103310,103300,103300
10/09/2018,103260,103270,103240,103270
10/09/2018,103270,103280,103240,103240
10/09/2018,103220,103220,103220,103220
10/09/2018,103190,103190,103190,103190
10/09/2018,103200,103210,103200,103210
10/09/2018,103220,103220,103220,103220
10/09/2018,103150,103150,103150,103150
10/09/2018,103140,103140,103140,103140
10/09/2018,103160,103170,103160,103170
10/09/2018,103180,103180,103180,103180
10/09/2018,103210,103210,103210,103210
10/09/2018,103220,103220,103220,103220
10/09/2018,103200,103200,103200,103200
10/09/2018,103200,103260,103200,103260
10/09/2018,103300,103320,103300,103320
10/09/2018,103340,103370,103340,103350
10/09/2018,103360,103430,103360,103420
10/09/2018,103430,103450,103420,103420
10/09/2018,103420,103430,103390,103390
10/09/2018,103390,103390,103370,103370
10/09/2018,103350,103360,103300,103300
10/09/2018,103300,103310,103300,103300
10/09/2018,103310,103320,103310,103320
10/09/2018,103320,103320,103270,103270
10/09/2018,103300,103300,103200,103200
10/09/2018,103240,103340,103240,103240
10/09/2018,103320,103320,103290,103290
10/09/2018,103200,103200,103200,103200
10/09/2018,103150,103150,103150,103150
10/09/2018,103180,103180,103180,103180
10/09/2018,103200,103200,103200,103200
10/09/2018,103160,103160,103160,103160
10/09/2018,103110,103110,103110,103110
10/09/2018,103120,103130,103120,103130
10/09/2018,103100,103100,103100,103100
10/09/2018,103100,103100,103100,103100
10/09/2018,103100,103100,103100,103100
10/09/2018,103100,103100,103100,103100
10/09/2018,103140,103140,103140,103140
10/09/2018,103190,103190,103190,103190
10/09/2018,103190,103190,103190,103190
10/09/2018,103170,103180,103170,103180
10/09/2018,103180,103180,103180,103180
10/09/2018,103160,103160,103160,103160
10/09/2018,103080,103090,103080,103090
10/09/2018,103100,103100,103100,103100
10/09/2018,103080,103080,103080,103080
10/09/2018,103060,103060,103050,103050
10/09/2018,103060,103060,103050,103050
10/09/2018,103120,103120,103120,103120
10/09/2018,103090,103090,103090,103090
10/09/2018,103110,103110,103110,103110
10/09/2018,103060,103060,103030,103030
10/09/2018,103010,103030,102970,102990
10/09/2018,102990,102990,102990,102990
10/09/2018,102980,102980,102980,102980
10/09/2018,102980,102980,102980,102980
10/09/2018,103020,103020,103020,103020
10/09/2018,103020,103120,103020,103120
10/09/2018,103100,103100,103100,103100
10/09/2018,103030,103030,103030,103030
10/09/2018,103060,103060,103060,103060
10/09/2018,103020,103020,103000,103000
10/09/2018,103000,103000,103000,103000
10/09/2018,103040,103040,103040,103040
10/09/2018,103040,103090,103040,103090
10/09/2018,103050,103050,103050,103050
10/09/2018,103100,103150,103100,103100
10/09/2018,103100,103100,103100,103100
10/09/2018,103120,103150,103120,103150
10/09/2018,103100,103120,103100,103100
10/09/2018,103130,103130,103130,103130
10/09/2018,103150,103150,103140,103140
10/09/2018,103150,103150,103150,103150
10/09/2018,103140,103140,103140,103140
10/09/2018,103100,103100,103100,103100
10/09/2018,103100,103100,103100,103100
10/09/2018,103060,103060,103060,103060
10/09/2018,103010,103010,103000,103000
10/09/2018,102970,102970,102960,102960
10/09/2018,102970,103030,102950,103030
10/09/2018,103020,103020,103020,103020
10/09/2018,103000,103000,103000,103000
10/09/2018,103030,103030,103030,103030
10/09/2018,103100,103100,103040,103040
10/09/2018,103100,103100,103090,103090
10/09/2018,103080,103080,103080,103080
10/09/2018,103080,103080,103080,103080
10/09/2018,103070,103070,103070,103070
10/09/2018,103040,103040,103030,103030
10/09/2018,103000,103020,103000,103020
10/09/2018,103000,103000,102980,102980
10/09/2018,103030,103030,103030,103030
10/09/2018,103020,103020,103020,103020
